sample_id,pipeline,version,wer,reference_words,hypothesis_words,transcription_file,status
121-121726-0005,denoise,corrige,0.000000,3,3,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0005_denoise_corrige.txt,ok
121-121726-0005,vad,original,0.000000,3,3,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0005_vad_original.txt,ok
121-121726-0005,vad,corrige,0.000000,3,3,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0005_vad_corrige.txt,ok
121-121726-0006,brut,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0006_brut_original.txt,ok
121-121726-0006,brut,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0006_brut_corrige.txt,ok
121-121726-0006,denoise,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0006_denoise_original.txt,ok
121-121726-0006,denoise,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0006_denoise_corrige.txt,ok
121-121726-0006,vad,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0006_vad_original.txt,ok
121-121726-0006,vad,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0006_vad_corrige.txt,ok
121-121726-0007,brut,original,0.000000,14,14,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0007_brut_original.txt,ok
121-121726-0007,brut,corrige,0.000000,14,14,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0007_brut_corrige.txt,ok
121-121726-0007,denoise,original,0.000000,14,14,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0007_denoise_original.txt,ok
121-121726-0007,denoise,corrige,0.000000,14,14,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0007_denoise_corrige.txt,ok
121-121726-0007,vad,original,0.000000,14,14,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0007_vad_original.txt,ok
121-121726-0007,vad,corrige,0.000000,14,14,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0007_vad_corrige.txt,ok
121-121726-0008,brut,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0008_brut_original.txt,ok
121-121726-0008,brut,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0008_brut_corrige.txt,ok
121-121726-0008,denoise,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0008_denoise_original.txt,ok
121-121726-0008,denoise,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0008_denoise_corrige.txt,ok
121-121726-0008,vad,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0008_vad_original.txt,ok
121-121726-0008,vad,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0008_vad_corrige.txt,ok
121-121726-0009,brut,original,0.142857,14,15,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0009_brut_original.txt,ok
121-121726-0009,brut,corrige,0.142857,14,15,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0009_brut_corrige.txt,ok
121-121726-0009,denoise,original,0.142857,14,15,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0009_denoise_original.txt,ok
121-121726-0009,denoise,corrige,0.142857,14,15,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0009_denoise_corrige.txt,ok
121-121726-0009,vad,original,0.142857,14,15,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0009_vad_original.txt,ok
121-121726-0009,vad,corrige,0.142857,14,15,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0009_vad_corrige.txt,ok
121-121726-0010,brut,original,0.111111,18,19,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0010_brut_original.txt,ok
121-121726-0010,brut,corrige,0.111111,18,19,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0010_brut_corrige.txt,ok
121-121726-0010,denoise,original,0.111111,18,19,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0010_denoise_original.txt,ok
121-121726-0010,denoise,corrige,0.111111,18,19,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0010_denoise_corrige.txt,ok
121-121726-0010,vad,original,0.111111,18,19,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0010_vad_original.txt,ok
121-121726-0010,vad,corrige,0.111111,18,19,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0010_vad_corrige.txt,ok
121-121726-0011,brut,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0011_brut_original.txt,ok
121-121726-0011,brut,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0011_brut_corrige.txt,ok
121-121726-0011,denoise,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0011_denoise_original.txt,ok
121-121726-0011,denoise,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0011_denoise_corrige.txt,ok
121-121726-0011,vad,original,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0011_vad_original.txt,ok
121-121726-0011,vad,corrige,0.000000,7,7,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0011_vad_corrige.txt,ok
121-121726-0012,brut,original,0.200000,5,5,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0012_brut_original.txt,ok
121-121726-0012,brut,corrige,0.200000,5,5,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0012_brut_corrige.txt,ok
121-121726-0012,denoise,original,0.200000,5,5,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0012_denoise_original.txt,ok
121-121726-0012,denoise,corrige,0.200000,5,5,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0012_denoise_corrige.txt,ok
121-121726-0012,vad,original,0.200000,5,5,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0012_vad_original.txt,ok
121-121726-0012,vad,corrige,0.200000,5,5,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0012_vad_corrige.txt,ok
121-121726-0013,brut,original,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0013_brut_original.txt,ok
121-121726-0013,brut,corrige,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0013_brut_corrige.txt,ok
121-121726-0013,denoise,original,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0013_denoise_original.txt,ok
121-121726-0013,denoise,corrige,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0013_denoise_corrige.txt,ok
121-121726-0013,vad,original,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0013_vad_original.txt,ok
121-121726-0013,vad,corrige,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0013_vad_corrige.txt,ok
121-121726-0014,brut,original,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0014_brut_original.txt,ok
121-121726-0014,brut,corrige,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\brut\121-121726-0014_brut_corrige.txt,ok
121-121726-0014,denoise,original,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0014_denoise_original.txt,ok
121-121726-0014,denoise,corrige,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\denoise\121-121726-0014_denoise_corrige.txt,ok
121-121726-0014,vad,original,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0014_vad_original.txt,ok
121-121726-0014,vad,corrige,0.000000,4,4,evaluation_input\final_try\resultats_transcriptions\vad\121-121726-0014_vad_corrige.txt,ok
